alias_id,steamid64,source_id,player_name,observed_at
152,76561199017395426,4,CAN YO‏U QUACK,2020-05-24T08:24:03Z
153,76561199017401544,4,CAN Y‏OU QUACK,2020-05-24T09:02:55Z
154,76561199017422519,4,furry-bot 10,2020-06-24T23:15:48Z
155,76561199017451340,4,bunker bo‏y‏‏,2020-06-07T08:09:44Z
156,76561199017474426,4,bunker ‏boy‏,2020-06-07T07:54:31Z
157,76561199017501713,4,bunke‏r boy‏,2020-06-07T07:52:49Z
158,76561199017524280,4,/id/raspy_on‏_osu‏,2020-06-04T04:34:10Z
159,76561199017554578,4,pazer‏  ‏,2020-06-06T21:35:45Z
160,76561199017573550,4,bunker‏ boy‏,2020-06-07T07:31:09Z
161,76561199017648313,4,tkkittel‏,2020-07-11T22:35:29Z
162,76561199017748941,4,/id/raspy_‏on_osu‏,2020-06-04T03:36:17Z
163,76561199017819450,4,b‏unker boy‏,2020-06-07T08:08:47Z
164,76561199017865057,4,/id/raspy_on_o‏su‏,2020-06-04T05:53:20Z
165,76561199018168105,4,r‏aspy    ‏,2020-05-30T00:29:06Z
166,76561199018857045,4,b‏unker boy‏‏,2020-06-07T08:16:24Z
167,76561199019019137,4,pazer  ‏‏‏‏‏,2020-06-06T21:33:42Z
168,76561199019030492,4,bun‏ker boy‏‏,2020-06-07T07:44:44Z
169,76561199019046436,4,bunker boy‏‏‏‏,2020-06-07T08:07:13Z
170,76561199019154526,4,bunke‏r boy‏‏,2020-06-07T08:10:54Z
171,76561199019211443,4,/id/ra‏spy_on_osu‏,2020-06-04T06:16:38Z
172,76561199019414986,4,bunker bo‏y‏‏‏,2020-06-07T08:00:00Z
173,76561199019469319,4,paze‏r  ‏‏‏,2020-06-06T21:34:13Z
174,76561199024893372,4,quizno,2020-08-26T07:38:29Z
175,76561199027255088,4,hammer tf2,2020-05-29T07:16:44Z
176,76561199028489254,4,Lag-Bot 28,2020-06-24T02:27:00Z
177,76561199028528537,4,Tilar 5.0,2020-07-14T05:35:26Z
178,76561199029547725,4,Neo­,2021-09-01T08:23:17Z
179,76561199032498123,4,Lag-Bot 33,2020-06-24T23:27:11Z
180,76561199034283847,4,[aeiou] Toasty,2020-07-11T01:09:18Z
181,76561199035788144,4,engineer gaming (real),2021-02-22T02:39:51Z
182,76561199038903358,4,็,2020-09-20T04:32:26Z
183,76561199039283633,4,CIB‏ERKNIGHT,2021-01-31T04:04:41Z
184,76561199041891345,4,www.myg0t.gg]OGBADGER,2020-07-03T22:05:12Z
185,76561199043632025,4,shasta bot 1,2020-08-13T05:16:28Z
186,76561199044116993,4,shasta bot 2,2020-08-13T05:16:30Z
187,76561199044328124,4,cat-bot 2,2020-08-26T06:02:53Z
188,76561199045642198,4,cum,2020-06-11T03:45:37Z
189,76561199046155630,4,i7-7700K,2020-06-25T03:16:28Z
190,76561199047029942,4,Wonderman,2020-09-26T09:04:17Z
191,76561199047042382,4,(2)cum,2020-06-11T03:45:35Z
192,76561199047134024,4,thejudge‏2401,2020-05-31T05:13:23Z
193,76561199047291180,4,[VAC] OneTrick,2020-06-11T09:48:14Z
194,76561199047509309,4,Gsau‏sse8_01,2020-05-31T05:13:09Z
195,76561199047531081,4,[VAC] OneTrick,2020-06-10T06:07:28Z
196,76561199047636071,4,pazer,2020-06-07T01:26:50Z
197,76561199047660138,4,pazer,2020-06-09T05:02:24Z
198,76561199047763077,4,pazer,2020-06-10T06:02:32Z
199,76561199047765860,4,Soy killer,2020-08-09T02:42:58Z
200,76561199048777477,4,[VALVᴱ]FemboyFurret,2020-06-19T02:21:33Z
201,76561199048941287,4,scunt gaming,2020-06-14T09:04:49Z
202,76561199048978252,4,✪ B O L A X A ™,2020-06-11T04:17:23Z
203,76561199048999512,4,V3R,2020-06-11T04:17:26Z
204,76561199049384629,4,spikeymikey bot 2,2020-06-06T09:33:04Z
205,76561199049424165,4,pazer,2020-06-06T21:49:44Z
206,76561199049452911,4,partyrocker69,2020-07-10T03:35:54Z
207,76561199049470042,4,pazer,2020-06-06T21:32:05Z
208,76561199049508854,4,pazer,2020-06-08T03:39:07Z
209,76561199049676809,4,/id/PazerFromSilver,2020-06-07T21:13:16Z
210,76561199049679957,4,Lag-Bot 23,2020-06-25T03:58:05Z
211,76561199049806821,4,Lag-Bot 26,2020-06-25T02:17:34Z
212,76561199049895819,4,Trump Do‬g™,2021-02-22T09:57:02Z
213,76561199050573883,4,shasta bot 3,2020-08-13T05:16:28Z
214,76561199050762209,4,big weapon man,2020-06-15T07:23:28Z
215,76561199050953601,4,OneTrick,2020-09-26T08:38:28Z
216,76561199052654900,4,royalhack.net B0T,2021-09-01T07:52:49Z
217,76561199053703418,4,Lowrider Niggerkillern;quit,2020-07-14T04:18:39Z
218,76561199054608300,4,N bomb,2020-06-09T05:25:49Z
219,76561199054777083,4,*^+,2020-06-17T16:42:07Z
220,76561199056849114,4,furry-bot 4,2020-06-01T21:59:05Z
221,76561199056952966,4,furry-bot 1,2020-06-01T21:59:05Z
222,76561199056957389,4,furry-bot 0,2020-06-01T21:59:05Z
223,76561199056973065,4,furry-bot 3,2020-06-01T21:59:05Z
224,76561199057108693,4,furry-bot 2,2020-06-01T21:59:05Z
225,76561199058801667,4,deer,2020-07-28T19:59:58Z
226,76561199058943267,4,MYG)T,2020-05-24T09:49:48Z
227,76561199059014843,4,(1)MYG)T,2020-05-24T08:38:41Z
228,76561199059049099,4,MYG)T,2020-05-24T09:01:53Z
229,76561199059110105,4,(3)MYG)T,2020-05-28T08:26:14Z
230,76561199059120973,4,MYG)T,2020-05-25T01:05:07Z
231,76561199059147695,4,(4)MYG)T,2020-05-28T08:26:14Z
232,76561199059223154,4,(5)MYG)T,2020-05-28T08:26:14Z
233,76561199059223485,4,(2)MYG)T,2020-05-28T08:26:14Z
234,76561199059293293,4,(1)MYG)T,2020-05-28T08:26:14Z
235,76561199059656776,4,MYG)T,2020-05-28T08:26:14Z
236,76561199059662820,4,GyroBot,2020-06-13T07:14:14Z
237,76561199059711650,4,MYG)T,2020-05-24T05:30:36Z
238,76561199059718398,4,furry-bot 8,2020-06-24T23:36:47Z
239,76561199059733067,4,MYG)T,2020-05-24T08:37:17Z
240,76561199059775913,4,MYG)T,2020-05-28T20:51:47Z
241,76561199059792750,4,(1)MYG)T,2020-05-24T08:25:41Z
242,76561199059824457,4,furry-bot 21,2020-05-27T22:53:22Z
243,76561199059887403,4,furry-bot 4,2020-05-27T04:08:41Z
244,76561199060004115,4,MYG)T,2020-06-03T02:16:43Z
245,76561199060064325,4,MYG)T,2020-05-28T08:26:57Z
246,76561199060100067,4,MYG)T,2020-05-28T01:04:01Z
247,76561199060128782,4,MYG)T,2020-05-28T02:24:32Z
248,76561199060199755,4,MYG)T,2020-06-04T06:39:47Z
249,76561199060266574,4,MYG)T,2020-05-29T07:30:51Z
250,76561199060516649,4,MYG)T,2020-06-04T04:49:05Z
251,76561199060538219,4,MYG)T,2020-05-30T07:17:14Z
252,76561199060551469,4,MYG)T,2020-06-04T05:26:57Z
253,76561199060583295,4,MYG)T,2020-05-30T06:11:28Z
254,76561199060597911,4,MYG)T,2020-05-28T08:28:40Z
255,76561199060618447,4,(2)scunt gaming,2020-06-14T09:04:42Z
256,76561199060636467,4,sansic,2020-06-11T04:36:28Z
257,76561199061008162,4,furry-bot 30,2020-06-24T23:17:56Z
258,76561199061092981,4,furry-bot 2,2020-06-24T23:35:30Z
259,76561199061099973,4,furry-bot 21,2020-06-25T02:13:29Z
260,76561199061112036,4,furry-bot 24,2020-05-27T04:19:02Z
261,76561199061173209,4,benifit bot - kills bots,2020-07-03T18:11:40Z
262,76561199061347654,4,fortisira,2020-05-29T06:25:26Z
263,76561199061383078,4,furry-bot 19,2020-05-27T04:18:54Z
264,76561199061474220,4,Rick May Was A Pedo Bot 1,2020-05-28T05:48:47Z
265,76561199061474825,4,furry-bot 18,2020-05-30T00:06:55Z
266,76561199061585644,4,Rick May Was A Pedo Bot 3,2020-05-28T01:14:15Z
267,76561199061707622,4,Rick May Was A Pedo Bot 4,2020-05-28T06:37:17Z
268,76561199061963125,4,furry-bot 30,2020-06-24T23:53:29Z
269,76561199062455738,4,Cry Harder Faggot,2020-07-16T08:13:43Z
270,76561199063036597,4,myg()t,2020-06-06T10:31:38Z
271,76561199063050144,4,myg()t,2020-06-06T08:40:57Z
272,76561199063084935,4,[t0gym]OGBADGER,2020-06-11T09:46:17Z
273,76561199063128207,4,myg()t,2020-06-07T08:00:37Z
274,76561199063143434,4,Church of G0T,2020-06-11T05:12:42Z
275,76561199063148080,4,Church of G0T,2020-06-11T03:47:46Z
276,76561199063173138,4,[t0gym]AntiMuslim,2020-06-06T08:35:16Z
277,76561199063230386,4,[irc.myg0t.gg]OGBADGER,2020-08-03T07:31:31Z
278,76561199063231382,4,[t0gym]OGBADGER,2020-06-15T05:07:39Z
279,76561199063236857,4,[t0gym]OGBADGER,2020-06-24T02:11:53Z
280,76561199063239578,4,[t0gym]OGBADGER,2020-06-14T08:20:12Z
281,76561199063242256,4,[t0gym]OGBADGER,2020-06-14T08:18:21Z
282,76561199063287925,4,myg()t,2020-06-06T10:27:50Z
283,76561199063294377,4,Church of G0T,2020-06-06T21:36:48Z
284,76561199063307284,4,[irc.myg0t.gg]OGBADGER,2020-07-13T22:35:47Z
285,76561199063327026,4,[t0gym]AntiMuslim,2020-06-06T10:12:12Z
286,76561199063340656,4,Church of G0T,2020-06-07T08:11:30Z
287,76561199063341015,4,[t0gym]AntiMuslim,2020-06-06T09:52:23Z
288,76561199063353677,4,[irc.myg0t.gg]OGBADGER,2020-07-14T05:16:21Z
289,76561199063371515,4,[myg0t]ChristianKnight,2020-06-04T04:13:23Z
290,76561199063469198,4,[t0gym]AntiMuslim,2020-06-06T09:51:06Z
291,76561199063499996,4,[myg0t]GasTheKikes,2020-06-04T02:06:05Z
